"exam","question_id","subquestion_id","type","marks","AO","spec_reference","question_text","mark_scheme","extra_notes","page_start","page_end","has_figure","figure_labels_joined","has_table","table_labels_joined","question_pdf_filename","question_pdf_path","question_pdf_url"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.1","multiple choice","1","AO3","5.4.1.2","This question is about reactions of metals.
Figure 1 shows what happens when calcium, copper, magnesium and zinc are added to hydrochloric acid.
Figure 1
What is the order of decreasing reactivity of these four metals?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| ☐ | Zn Ca Cu Mg |
| ☐ | Ca Cu Mg Zn |
| ☐ | Cu Zn Ca Mg |
| ☐ | Ca Mg Zn Cu |","Ca Mg Zn Cu","","2","2","true","Figure 1","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.2","short answer","2","AO3","5.4.1.2","A student wants to make a fair comparison of the reactivity of the metals with hydrochloric acid.
Name two variables that must be kept constant.
[2 marks]
1 ____________________________
2 ____________________________","any two from:
• mass (of metal / element)
• surface area (of metal / element)
• concentration (of acid)
• volume (of acid)
• temperature (of acid)","allow weight
ignore size
ignore length
ignore pH
ignore strength
ignore room temperature","3","3","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.3","short answer","1","AO2","5.4.1.2","What is the independent variable in this reaction?
[1 mark]
____________________________","(type of) metal / element","","3","3","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.4","short answer","2","AO3","5.1.2.3; 5.1.2.5; 5.4.1.2","Predict the reactivity of beryllium compared with magnesium.
Give a reason for your answer.
Use the periodic table.
[2 marks]
Reason
____________________________","(beryllium is) less reactive
any one from:
• greater attraction between nucleus and outer electrons
• more energy is needed to remove electrons
• loss of electrons is more difficult
• outer electrons closer to nucleus
• less shielding","allow converse answers for 
magnesium
MP2 only if MP1 is correct
allow higher in group
allow reactivity increases down 
the group
ignore reactivity series","3","3","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.5","calculation","3","AO2","5.3.2.5","A solution of hydrochloric acid contains 3.2 g of hydrogen chloride in 50 cm3
Calculate the concentration of hydrogen chloride in g per dm3
[3 marks]
Concentration = ______ g per dm3","50
1000 (dm3) = 0.05 (dm3)
(
3.2
0.05 ) = 64 (g per dm3)
alternative approach:
3.2
50 (1) = 0.064 (1)
(× 1000) = 64 (g per dm3) (1)
alternative approach:
1000
50 (1) = 20 (1)
(× 3.2) = 64 (g per dm3) (1)
an answer of 64 (g per dm3) scores 3 marks","an incorrect answer for one 
step does not prevent 
allocation of marks for 
subsequent steps
an answer of 0.16 / 0.064 / 0.64 
/ 6.4 / 6.4 × 10–5 (g per dm3
) 
gains 2 marks","3","4","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.1","short answer","1","AO1","5.2.2.2","This question is about salts.
Ammonium nitrate solution is produced when ammonia gas reacts with nitric acid.
Give the state symbol for ammonium nitrate solution.
[1 mark]","(aq)","allow aq 
ignore aqueous
ignore formulae","4","4","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.2","multiple choice","1","AO1","5.1.1.1; 5.4.2.2","What is the formula of nitric acid?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| ☐ | HCl |
| ☐ | HNO3 |
| ☐ | H2SO4 |
| ☐ | NH4OH |","HNO3","","4","4","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.3","short answer","2","AO1","5.4.2.4","Ammonia gas dissolves in water to produce ammonia solution.
Ammonia solution contains hydroxide ions, OH–
A student adds universal indicator to solutions of nitric acid and ammonia.
What colour is observed in each solution?
[2 marks]
Colour in nitric acid ____________________________
Colour in ammonia solution ____________________________","red
purple
or
blue","allow orange or yellow
do not accept green
allow shades of purple eg violet","4","4","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.4","multiple choice","1","AO3","5.4.2.4","The student gradually added nitric acid to ammonia solution.
Which row, A, B, C or D, shows the change in pH as the nitric acid is added until in excess?
[1 mark]
Tick (✓) one box.

|   | pH of ammonia solution at start | pH after addition of excess nitric acid |
|---|-------------------------------|----------------------------------------|
| ☐ | 10                            | 7                                      |
| ☐ | 2                             | 10                                     |
| ☐ | 7                             | 1                                      |
| ☐ | 10                            | 2                                      |","D","","5","5","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.5","calculation","3","AO2","5.3.1.2","Calculate the percentage by mass of oxygen in ammonium nitrate (NH4NO3).
Relative atomic masses (Ar): H = 1 N = 14 O = 16
Relative formula mass (Mr): NH4NO3 = 80
[3 marks]
Percentage by mass of oxygen = ______ %","3 × 16 or 48
48
80 (×100)
60 (%)
an answer of 60 (%) scores 3 marks","an answer of 20 (%) scores 2
marks for:
16
80 (× 100) (1)
 = 20 (%) (1)","5","5","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.6","extended response","6","AO3","5.5.1.1","Describe a method to investigate how the temperature changes when different masses of ammonium nitrate are dissolved in water.
You do not need to write about safety precautions.
[6 marks]","Level 3: The design/plan would lead to the production of a valid outcome. All key steps are identified and logically sequenced. 5–6
Level 2: The design/plan would not necessarily lead to a valid outcome. Most steps are identified, but the plan is not fully logically sequenced. 3–4
Level 1: The design/plan would not lead to a valid outcome. Some relevant steps are identified, but links are not made clear. 1–2
No relevant content 0
Indicative content
Steps
• use a suitable container eg test tube
• use insulation
• add water
• measure the initial water temperature (with a thermometer)
• add stated mass eg 1g or 1 spatula
• stir (to dissolve the solid)
• measure the final (allow lowest or highest) temperature of the solution
• calculate the temperature difference or determine graphically
• repeat with different masses
• repeat with the same volume of water","to access level 3 there must be an indication of how the 
temperature change is determined using different masses dissolved 
in the same quantity of water","6","7","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q03","Q03.1","short answer","1","AO1","5.5.1.2","This question is about oxygen.
Hydrogen reacts with oxygen.
2 H2 (g) + O2 (g) → 2 H2O (g)
Figure 2 shows the relative energies of the reactants and products at a certain temperature.
Figure 2
Label the activation energy on Figure 2.
[1 mark]","line from reactants to top of curve (i.e. from 800 to 2160)","ignore arrowheads","8","8","true","Figure 2","false","","AQA-8464C1H-QP-JUN19 (1)_Q03.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q03.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q03.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q03","Q03.2","calculation","2","AO2","5.5.1.2","Determine the overall energy change for the reaction between hydrogen and oxygen shown in Question 03.1
Use Figure 2.
[2 marks]
Energy change = ______ kJ","reads levels of reactants (800 kJ) and products (300 kJ)
(800 – 300) = 500 (kJ)","an answer of (–) 500 (kJ) 
scores 2 marks
ignore sign
allow correct subtraction of one
incorrect value determined for
the energy change ","9","9","true","Figure 2","false","","AQA-8464C1H-QP-JUN19 (1)_Q03.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q03.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q03.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q03","Q03.3","short answer","2","AO2","5.2.1.4","Oxygen is in Group 6 of the periodic table.
Figure 3 shows the outer energy levels in one molecule of oxygen (O2).
Draw the electrons in the outer energy levels in Figure 3.
[2 marks]
Figure 3","two shared pairs in overlap
all non-bonding electrons in outer shell (4 electrons on each O atom)","allow combination of circles, 
dots, crosses or e(–)
ignore any inner shell electrons
diagram scores 2 marks","9","9","true","Figure 3","false","","AQA-8464C1H-QP-JUN19 (1)_Q03.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q03.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q03.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q03","Q03.4","calculation","3","AO2","5.1.1.1; 5.5.1.1; 5.5.1.3","The equation shows the decomposition of hydrogen peroxide.
2 H–O–O–H → 2 H–O–H + O=O
Table 1 shows the bond energies.

| Bond      | O–O | O=O | O–H |
|-----------|-----|-----|-----|
| Bond dissociation energy in kJ per mole | 138 | 496 | 463 |

Calculate the overall energy change for the reaction.
[3 marks]
Energy change = ______ kJ","(bonds broken)
((4×463) + (2×138) = ) 2128
(bonds made)
((4×463) + (496) = ) 2348
(energy change = bonds broken – bonds made)
(2128 – 2348 = ) (–) 220 (kJ)
alternative approach:
(bonds broken)
(2× (O–O) = (2×138) =) 276 (1)
(bonds made)
(1× (O=O) = ) 496 (1)
(energy change = bonds broken – bonds made)
(276 – 496 = ) (–) 220 (kJ) (1)","an answer of (–) 220 (kJ) scores 
3 marks 
an incorrect answer for one step 
does not prevent allocation of 
marks for subsequent steps
ignore energy change sign
allow correct calculation using 
incorrect values from step 1 
and/or step 2","10","10","true","","true","Table 1","AQA-8464C1H-QP-JUN19 (1)_Q03.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q03.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q03.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q04","Q04.1","short answer","1","AO1","5.1.2.2","This question is about elements in the periodic table.
What order did scientists use to arrange elements in early periodic tables?
[1 mark]","atomic weight","do not accept atomic mass or Ar","11","11","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q04","Q04.2","short answer","1","AO1","5.1.2.2","In the early periodic tables some elements were placed in the wrong groups.
Mendeleev overcame this in his periodic table.
Give one way Mendeleev did this.
[1 mark]","left gaps / spaces
or
changed the order based on atomic weights","allow placed them in correct 
groups according to properties
do not accept reference to 
atomic number","11","11","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q04","Q04.3","short answer","2","AO1","5.1.2.6; 5.2.2.4","Table 2 shows the boiling points of fluorine, chlorine and bromine.

| Element   | Boiling point in °C |
|-----------|---------------------|
| Fluorine  | –186                |
| Chlorine  | –34                 |
| Bromine   | +59                 |

Explain why the boiling points in Table 2 are low.
[2 marks]","weak forces between the molecules
or
weak intermolecular forces
(so) little energy required to overcome / break the forces between molecules
or
(so) little energy required to overcome / break the intermolecular forces","allow weak intermolecular bonds
do not accept incorrect 
references to covalent bonds
allow (so) little energy required 
to separate the molecules
allow (so) little energy required 
to overcome / break the 
intermolecular bonds
ignore less energy","12","12","false","","true","Table 2","AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q04","Q04.4","short answer","3","AO1","5.1.2.6; 5.2.2.4","Explain the trend in the boiling points in Table 2.
[3 marks]","(the) molecules get larger going down the group
(so the) forces between the molecules increase
or (so the) intermolecular forces increase
(so the) boiling points increase going down the group
or (so the) boiling points increase with increasing relative atomic mass","allow converse explanation in 
terms of boiling point
allow (so) more energy is 
needed to separate the 
molecules","12","12","false","","true","Table 2","AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q04","Q04.5","short answer","2","AO1","5.1.2.4","Explain why neon is unreactive.
Give the electronic structure of neon in your answer.
[2 marks]","2,8
(so) stable arrangement of electrons
or
(so) full outer shell","allow diagram or description","13","13","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q04","Q04.6","calculation","2","AO2","5.3.2.1","How many atoms are there in 1 g of argon?
The Avogadro constant is 6.02 × 10^23 per mole.
Relative atomic mass (Ar): Ar = 40
[2 marks]
Number of atoms in 1 g = ____________","1
40 × 6.02 × 10^23
or
0.025 × 6.02 × 10^23
1.51 × 10^22","an answer of 1.51 × 10^22 scores 
2 marks 
allow 1.505 × 10^22","13","13","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q04.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q05","Q05.1","short answer","1","AO1","5.4.3.3","This question is about electrolysis.
Some metals are extracted from molten compounds using electrolysis.
Why is electrolysis used to extract some metals?
[1 mark]","metal is too reactive to be extracted using carbon
or
metal reacts with carbon","allow metal is more reactive 
than carbon","14","14","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q05","Q05.2","short answer","2","AO1","5.4.3.3","Aluminium is produced by electrolysis of a molten mixture.
What two substances does the molten mixture contain?
[2 marks]
1 ____________________________
2 ____________________________","aluminium oxide
cryolite","either order
ignore bauxite or aluminium ore","14","14","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q05","Q05.3","short answer","2","AO2","5.4.3.2; 5.4.3.5","Copper and chlorine are produced when molten copper chloride is electrolysed.
Complete the half equation for the reaction at each electrode.
[2 marks]
Half equation at negative electrode
Cu2+ → ____________________________
Half equation at positive electrode
2 Cl– → ____________________________","negative electrode:
Cu2+ + 2e– → Cu
positive electrode:
2Cl– → Cl2 + 2e–","allow multiples
allow 2Cl– – 2e–
 → Cl2","14","14","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q05","Q05.4","short answer","2","AO3","5.4.3.4","Figure 4 shows the apparatus a student used to electrolyse copper chloride solution.
Figure 4
The student:
• measured the mass of copper deposited on the negative electrode after 60 minutes
• compared the mass deposited with the expected value.
Suggest two reasons why the mass deposited was different from the expected value.
[2 marks]
1 ____________________________
2 ____________________________","any two from:
• concentration / volume of solution was different
• impurities in solution
• error in timing
• copper falls off (electrode)
• copper removed when drying electrode
• electrode not dry (when weighed)
• voltage / current was different","allow copper at bottom 
of beaker
ignore power supply
ignore recorded mass 
inaccurately","15","15","true","Figure 4","false","","AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q05","Q05.5","calculation","3","AO2","5.4.3.4","Figure 5 shows the expected mass of copper produced each minute.
Figure 5
Determine the expected mass of copper after 24 hours.
Use Figure 5.
[3 marks]
Mass = ______ mg","reading of mass at stated time
factor from time to 24 hours
correct evaluation
alternative approach:
calculates the gradient (1)
gradient × time in minutes in 24 hours (1)
correct evaluation (1)","an incorrect answer for one step 
does not prevent allocation of 
marks for subsequent steps
allow tolerance of ± ½ small 
square
eg at 30 minutes value is 5.4 
(mg)
eg 5.4 × 48 (=
 24 hours
30 minutes)
allow correct calculation using 
incorrectly read value for mass 
at time quoted
eg = 259 (mg)
eg (1.8÷10) = 0.18
eg 0.18 × 24 × 60
or
eg 0.18 × 1440
allow correct use of incorrectly 
determined gradient
eg = 259 (mg)","16","16","true","Figure 5","false","","AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q05","Q05.6","calculation","1","AO2","5.4.3.4","Silver nitrate solution is electrolysed.
Figure 6 shows the change in mass of the negative electrode over 10 hours.
Figure 6
Determine the mass of the negative electrode at the start of the experiment.
Use Figure 6.
[1 mark]","4.75 (g)","allow values in range 4.7–4.8 (g)","17","17","true","Figure 6","false","","AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q05","Q05.7","calculation","3","AO2","5.4.3.4","Calculate the gradient of the line in Figure 6.
Give the unit.
[3 marks]
Gradient ____________
Unit ____________","(working)
Y increase and X increase measured from graph and substitution into Y increase / X increase
correct evaluation
(units) g/hour","an answer in the range 0.18–
0.25 scores 2 marks (3 marks 
with correct unit)
allow ecf from question 05.6
eg = 2.0
10
eg = 0.2 
allow g/h or g/hr or g per hour","17","17","true","Figure 6","false","","AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q05.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q06","Q06.1","multiple choice","1","AO2","5.1.1.1; 5.1.2.5","This question is about sodium.
Sodium reacts with chlorine.
What is the balanced equation for the reaction?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| ☐ | Na + Cl → NaCl |
| ☐ | Na + Cl2 → NaCl2 |
| ☐ | 2 Na + Cl2 → 2 NaCl |
| ☐ | 2 Na + Cl → Na2Cl |","2 Na + Cl2 → 2 NaCl","","18","18","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q06.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q06.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q06.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q06","Q06.2","short answer","3","AO1","5.1.2.5","Hot sodium is put in a gas jar of chlorine.
Describe the observations made before, during and after the reaction.
[3 marks]
Before reaction ____________________________
During reaction ____________________________
After reaction ____________________________","(before)
silver solid / liquid / metal
or
green (gas)
(during)
yellow flame
or
white smoke
or
green colour fades / disappears
(after)
white solid / powder","allow grey solid / metal
allow yellow (gas)
allow orange / white flame
allow vigorous reaction","18","18","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q06.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q06.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q06.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q06","Q06.3","extended response","4","AO1","5.1.2.5","Explain why sodium is less reactive than potassium.
[4 marks]","(sodium has)
fewer energy levels / shells
outer electron / shell is closer to nucleus
or
outer electron / shell is less shielded
(so) greater attraction between nucleus and outer electron / shell
(so) outer electron is less easily lost","allow converse for potassium
allow diagrams of electron 
structure
allow (so) loses an / one 
electron less easily 
allow (so) more energy needed 
to remove an / one electron","19","19","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q06.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q06.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q06.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q06","Q06.4","extended response","6","AO1","5.1.2.5; 5.2.2.4","Chlorine reacts with sodium and with hydrogen.
Compare the structure and bonding in sodium chloride and hydrogen chloride.
[6 marks]","Level 2: Scientifically relevant features are identified; the way(s) in which they are similar/different is made clear and (where appropriate) the magnitude of the similarity/difference is noted. 4‒6
Level 1: Relevant features are identified and differences noted. 1‒3
No relevant content 0
Indicative content
sodium chloride hydrogen chloride
differences in bonding
ionic covalent
metal & non-metal two non-metals
transferring electrons sharing electrons
ions (Na+ and Cl–) molecules
charged particles neutral or no overall charge
differences in structure
giant structure or lattice
small / simple / discrete molecules
electrostatic intermolecular forces
(electrostatic forces) are strong (intermolecular forces) are weak
act in all directions random or between the molecules
regular irregular / random
similarities in bonding
full shells or stability full shells or stability
(transferring) electrons (sharing) electrons
strong bonds strong (covalent) bonds
similarities in structure (electrostatic) forces (intermolecular) forces","ignore properties eg melting points, conduct electricity
to access level 2 there must be a comparison of the structure and bonding and magnitude 
of both sodium chloride and hydrogen chloride.","20","20","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q06.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q06.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q06.pdf"
