session,exam,year,question_id,subquestion_id,type,marks,AO,spec_reference,question_text,mark_scheme,extra_notes,question_page_start,question_page_end,mark_scheme_start_page,mark_scheme_end_page,has_figure,figure_labels_joined,has_table,table_labels_joined,source_qp,source_ms,figure_labels,table_labels,question_pdf_link
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,1,1.1,short answer,3,AO3,6.1.3,"Figure 1 shows some of the energy resources used to meet the demand for electrical power in the UK on one day in 2020.

Figure 1

The maximum demand for electrical power on that day was at 6 pm.
Determine the percentage of the maximum demand for electrical power that was generated using gas.
[3 marks]
Percentage = ____ %","16 500 (GW) and 30 000 (GW) read from graph
percentage = 16 500 / 30 000 × 100%
percentage = 55 (%)","allow a correct substitution using 
a value of 15300 or 18000 for 
gas
allow an answer consistent with 
a value of 15300 or 18000 for 
gas",2,2,10,10,True,Figure 1,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 1'],[],https://drive.google.com/file/d/1_KrDGKNUB309vsWJDmJjJftfusc5v6lw/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,1,1.2,multiple choice,1,AO1,6.1.3,"The UK government wants to reduce carbon emissions as much as possible.
Which energy resources need to be used less to achieve this?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| □ | Coal and gas |
| □ | Gas and nuclear |
| □ | Wind and coal |
| □ | Wind and nuclear |",coal and gas,,3,3,10,10,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1_KrDGKNUB309vsWJDmJjJftfusc5v6lw/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,1,1.3,short answer,1,AO1,6.2.4.3,"A network of transformers and transmission cables transfers electrical power from power stations to consumers.
What is this network called?
[1 mark]",the national grid,,4,4,10,10,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1_KrDGKNUB309vsWJDmJjJftfusc5v6lw/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,1,1.4,short answer,3,AO1,6.2.4.3,"Explain how using step-up transformers makes the network efficient.
[3 marks]","potential difference increases
current is reduced 
so there is less / low energy loss (to the surroundings)","allow large potential difference
allow small current
allow less / low heating in the 
transmission cables
ignore resistance
do not allow no energy loss",4,4,10,10,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1_KrDGKNUB309vsWJDmJjJftfusc5v6lw/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.1,short answer,6,AO1,"6.1.1.3, 6.3.2.2","A student made measurements to determine the specific heat capacity of vegetable oil.
Figure 2 shows the equipment used.
Figure 2
Describe how the student could use the equipment shown in Figure 2 to determine the specific heat capacity of vegetable oil.
[6 marks]","Level 3: The method would lead to the production of a valid outcome. All key steps are identified and logically sequenced.
Level 2: The method would not necessarily lead to a valid RPA14 outcome. Most steps are identified, but the plan is not fully logically sequenced.
Level 1: The method would not lead to a valid outcome. Some relevant steps are identified, but links are not made clear.
No relevant content
Indicative content
• measure mass of oil using the top pan balance
• measure start temperature of oil using the thermometer
• place beaker of oil on heater
• switch on heater to heat oil
• measure final temperature of oil using the thermometer
• measure energy transferred using joulemeter
• calculate increase in temperature (∆θ)
• use the equation E = mcΔθ to determine c",,6,6,11,11,True,Figure 2,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 2'],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.2,short answer,1,AO1,"6.1.1.3, RPA14","Give one risk when using the equipment in Figure 2.
[1 mark]",burns / scalds,"allow cuts from broken glass
ignore the heater / oil is hot",7,7,11,11,True,Figure 2,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 2'],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.3,short answer,1,AO1,"6.1.1.4, 6.2.4.2, RPA14","A different student did not have a joulemeter and calculated the energy transferred by the electric heater.
Use the Physics Equations Sheet to answer questions 02.3 and 02.4.
Write down the equation linking energy transferred (E), power (P) and time (t).
[1 mark]","power = energy transferred / time
or
P = E / t",,7,7,11,11,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.4,calculation,3,AO2,"6.1.1.4, 6.2.4.2","The electric heater had a power output of 50 watts.
Calculate the time taken for the electric element to transfer 4750 joules of energy to the vegetable oil.
[3 marks]
Time taken = ____ s","50 = 4750 / t
or
4750 = 50 × t 
t = 4750 / 50
t = 95 (s)",,7,8,11,11,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.5,short answer,1,AO1,6.2.1.4,"In a deep fryer, vegetable oil is heated by an electric heating element. Food is then cooked in the hot vegetable oil.
The deep fryer contains an electrical component to monitor the temperature of the vegetable oil. 
Figure 3 shows how the resistance of this electrical component changes with temperature.
Figure 3
What electrical component is used to monitor the temperature of the vegetable oil?
[1 mark]",thermistor,,8,8,11,11,True,Figure 3,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 3'],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.6,calculation,2,AO3,6.2.1.4,"The electric heating element in the deep fryer automatically switches off when the vegetable oil reaches a certain temperature.
Figure 4 shows how the temperature of the vegetable oil changed after the deep fryer was switched on.
Figure 4
Determine the resistance of the electrical component when the electric heating element automatically switched off.
Use Figure 3 and Figure 4.
[2 marks]
Resistance = ____ Ω",250 (Ω),"allow an answer in the range
240 (Ω) to 260 (Ω)
allow 1 mark for temperature = 
160 (°C)",9,9,11,11,True,"Figure 3, Figure 4",False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,"['Figure 3', 'Figure 4']",[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.7,multiple choice,1,AO1,6.3.1.2,"Some chips were put in the deep fryer. 
In the deep fryer, water in the chips underwent a physical change and became steam.
Why is this a physical change?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| □ | All water can change to steam. |
| □ | No chemicals are involved when water changes to steam. |
| □ | The change from water to steam can be detected visually. |
| □ | The water will recover its original properties if the steam is cooled |",the water will recover its original properties if the steam is cooled,,10,10,11,11,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,3,3.1,short answer,4,AO1,"6.1.1.1, 6.1.2.1","A trampoline is made from a sheet of material held in place by stretched springs.
Figure 5 shows a child on a trampoline.
Figure 5
Position A shows the child’s maximum height above the trampoline.
Position B shows the lowest position reached by the child when landing on the trampoline.
Describe the changes to the stores of energy of the:
• child 
• springs 
• surroundings 
as the child moves from position A to position B.
[4 marks]
Child ______________
Springs ______________
Surroundings ______________","Child
gravitational potential energy decreases
kinetic energy increases and then decreases (to zero)
Springs
elastic potential energy increases
Surroundings
internal / thermal store of energy increases","ignore descriptions of energy 
transfers before the child 
reaches position A
ignore references to kinetic 
energy of the springs
allow energy is dissipated 
allow (average) kinetic energy of 
the particles increases",12,13,12,12,True,Figure 5,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 5'],[],https://drive.google.com/file/d/1JEhd6icDrEQF-QGwnrH9C-TvJAQvr2Kf/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,3,3.2,calculation,5,AO2,6.1.1.2,"When the child is at position A, each trampoline spring is stretched by 0.056 m
The elastic potential energy of each spring is 4.9 J
When the child is at position B, the elastic potential energy of each spring increases to 8.1 J
Calculate the extension of each spring when the child is at position B.
Use the Physics Equations Sheet. 
[5 marks]
Extension = ____ m","At position A
4.9 = 0.5 × k × 0.056²
k = 2 × 4.9 / 0.056² = 3125 (N/m)
At position B 
8.1 = 0.5 × 3125 × e²
e² = 2 × 8.1 / 3125
e = √(2 × 8.1 / 3125)
e = 0.072 (m)","allow a correct substitution of an 
incorrectly calculated value of k
using 0.056 m and 4.9 J
allow e² = 0.005184
allow a correct re-arrangement 
using an incorrectly calculated 
value of k
allow an answer consistent with 
their calculated value of k",14,14,12,12,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1JEhd6icDrEQF-QGwnrH9C-TvJAQvr2Kf/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,3,3.3,multiple choice,1,AO1,6.1.1.4,"As the child bounces on the trampoline the child does work.
What is the work done by the child equal to?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| □ | The average force applied by the child |
| □ | The maximum force applied by the child |
| □ | The total energy store of the child |
| □ | The total energy transferred by the child |",the total energy transferred by the child,,14,14,12,12,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1JEhd6icDrEQF-QGwnrH9C-TvJAQvr2Kf/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,4,4.1,calculation,1,AO2,6.3.3,"A student investigated how the pressure of a gas depends on its temperature. The volume of the gas did not change.
Figure 6 shows the equipment used.
Figure 6
Pressure is sometimes measured in units called atmospheres. 
1 atmosphere is 105 pascals (Pa). 
What is 1 atmosphere in kilopascals (kPa)?
[1 mark]
1 atmosphere = ____ kPa",100 (kPa),allow 102 (kPa),16,16,13,13,True,Figure 6,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 6'],[],https://drive.google.com/file/d/1y7OTQYwySZOKkY5TcWtU4AhTWXmhzWgi/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,4,4.2,calculation,2,AO2,6.3.3,"The student took four pressure readings for each temperature.
Table 1 shows the pressure readings when the temperature was 50.0 °C

Table 1

| Temperature in °C | Pressure in MPa |
|------------------|-----------------|
| 1                | 2    | 3    | 4    |
| 50.0             |0.115 |0.120 |0.121 |0.116|

Calculate the uncertainty in the mean pressure.
[2 marks]
Uncertainty = ± ____ MPa","range = 0.006 (MPa)
uncertainty = ± 0.003 (MPa)","allow mean = 0.118
an answer of uncertainty = 
0.118 (MPa) scores 0 marks",17,17,13,13,False,,True,Table 1,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],['Table 1'],https://drive.google.com/file/d/1y7OTQYwySZOKkY5TcWtU4AhTWXmhzWgi/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,4,4.3,short answer,1,AO2,6.3.3.1,"Figure 7 shows a sketch graph of the results.
Figure 7
The student said that as the temperature increases the pressure increases.
Give a better description of the relationship between temperature and pressure.
[1 mark]",the relationship is linear,"allow the relationship obeys 
y = mx + c
allow the gradient (of the graph) 
is constant
do not accept (directly) 
proportional",17,17,13,13,True,Figure 7,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 7'],[],https://drive.google.com/file/d/1y7OTQYwySZOKkY5TcWtU4AhTWXmhzWgi/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,4,4.4,extended response,5,AO2,6.3.3.1,"A pressure cooker is a sealed pot that uses steam to cook food.
Figure 8 shows a pressure cooker.
Figure 8
When the water in the pressure cooker starts to boil:
• the amount of steam in the pressure cooker increases
• the temperature of the steam increases above 100 °C
Explain why these changes make the pressure in the cooker increase. 
[5 marks]","(as the amount of steam increases) the number of particles increases
and (as the temperature increases) particles move faster 
particles collide with the wall of the cooker
these collisions are more frequent
and each collision exerts more force","particles refers to particles in the 
steam throughout
allow (as the temperature 
increases) the (average) kinetic 
energy of the particles increases
if MP3 is not awarded no 
subsequent marks may be 
awarded",18,18,13,13,True,Figure 8,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 8'],[],https://drive.google.com/file/d/1y7OTQYwySZOKkY5TcWtU4AhTWXmhzWgi/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,4,4.5,extended response,3,AO1,6.3.1.1,"If the pressure inside the pressure cooker becomes greater than 200 kPa then some of the steam is released through the safety valve.
The released steam expands as it moves into the atmosphere. 
Explain how a change in density of the steam is caused by a change in the arrangement of particles in the steam as it is released.
[3 marks]","the particles spread out
so the steam / gas takes up a greater volume
and density = mass / volume so the density decreases","do not allow particles expand
allow there is less gas in the 
same volume
do not allow density of particles 
decreases",19,19,13,13,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1y7OTQYwySZOKkY5TcWtU4AhTWXmhzWgi/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,5,5.1,short answer,2,AO3,6.2.1.4,"The camera in a mobile phone uses an LED to provide light when taking a photograph.
A student investigated how the potential difference across an LED varies with the current in it.
Figure 9 shows the circuit used.
Figure 9
The student closed the switch. The voltmeter gave a reading of 5.0 V 
The ammeter gave a reading of 0 mA 
The LED did not emit any light.
Explain how the student should have changed the circuit to make the LED emit light.
[2 marks]","reverse the connections to the LED / battery
because an LED / diode only allows current through in one direction","allow reverse the potential 
difference across the LED /
diode
allow because an LED / diode 
has a large resistance in the 
reverse direction",20,20,14,14,True,Figure 9,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 9'],[],https://drive.google.com/file/d/1NPv51FvG1mxSHQ_MRkmueirKGYfCS6qu/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,5,5.2,calculation,5,AO2,6.2.4.1,"The student changed the circuit so that the LED emitted light.
The current in the circuit was 290 mA 
The power of the LED was 0.98 W
Calculate the potential difference across the LED.
Use the Physics Equations Sheet.
Give your answer to 2 significant figures. 
[5 marks]
Potential difference (2 significant figures) = ____ V","290 mA = 0.29 A
0.98 = V × 0.29
or 
R = 0.98 / 0.29
V = 0.98 / 0.29
V = 3.379… 
V = 3.4 (V)","allow a correct substitution of an 
incorrectly / not converted 
current
allow R = 11.652…
ignore 0.98 = (0.29)² × 𝑅𝑅
allow a correct substitution of an 
incorrectly / not converted 
current
allow 𝑉𝑉 = 11.65 × 0.29
allow a correct rearrangement 
using an incorrectly / not 
converted current
allow a correct calculation using 
an incorrectly / not converted 
current
allow a correctly rounded 
answer to 2 sig figs consistent 
with their calculated value of V
using numbers from the 
question",21,21,14,14,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1NPv51FvG1mxSHQ_MRkmueirKGYfCS6qu/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,5,5.3,multiple choice,1,AO1,6.4.1.1,"A traditional camera uses a flash unit to provide light.
Figure 10 shows a flash unit on a traditional camera.
Figure 10
The flash unit emits light from xenon gas in a fluorescent tube.
What happens when a xenon atom emits light?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| □ | Electrons in the atom fall to a lower energy level. |
| □ | Electrons in the atom move to a higher energy level. |
| □ | Electrons leave the atom, causing ionisation. |
| □ | Electrons transfer to the atom from the electrical circuit. |",electrons in the atom fall to a lower energy level,,22,22,14,14,True,Figure 10,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 10'],[],https://drive.google.com/file/d/1NPv51FvG1mxSHQ_MRkmueirKGYfCS6qu/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,5,5.4,calculation,6,AO2,"6.2.4.2, 6.2.1.2","When the flash unit is used there is a mean potential difference of 200 V across the fluorescent tube. 
The flash of light lasts for 2.8 × 10–4 s
1.4 J of energy is transferred. 
Calculate the mean current. 
Use the Physics Equations Sheet.
[6 marks]
Mean current = ____ A","1.4 = Q × 200
Q = 1.4 / 200
Q = 0.0070 (C)
0.0070 = I × 2.8 × 10⁻⁴ 
I = 0.0070 / 2.8×10⁻⁴
I = 25 (A)
OR
1.4 = P × 2.8 × 10⁻⁴ (1)
P = 1.4 / 2.8×10⁻⁴ (1)
P = 5000 (W) (1)
5000 = 200 × I (1)
I = 5000 / 200 (1)
I = 25 (A) (1)","allow a correct substitution of 
their calculated value of Q
allow a correct re-arrangement 
using their value of Q
allow an answer consistent with 
their value of Q 
allow a correct substitution of 
their calculated value of P
allow a correct re-arrangement 
using their value of P
allow an answer consistent with 
their value of P",23,23,14,14,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1NPv51FvG1mxSHQ_MRkmueirKGYfCS6qu/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,6,6.1,short answer,2,AO1,"6.4.2.1, 6.4.2.4","A smoke detector contains a source of alpha radiation in a plastic case.
A source of beta radiation in a smoke detector would be more hazardous than a source of alpha radiation.
Explain why.
[2 marks]","beta radiation is more penetrating (than alpha radiation) 
so beta radiation could irradiate people passing near the smoke detector","allow beta radiation can pass 
through the case (but alpha 
radiation cannot)
allow beta radiation can travel 
further (in air than alpha 
radiation)
do not allow beta radiation is 
more ionising
allow beta radiation can pass 
through skin",24,24,15,15,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1zQkrVCZZ5BGMdBsk8HtPfiEv82nHWNqQ/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,6,6.2,calculation,2,AO1,"6.4.2.2, 6.4.2.1, 6.4.1.2","Actinium (Ac) is one source of alpha radiation.
An actinium (Ac) nucleus emits an alpha particle (α) and turns into a francium (Fr) nucleus.
This can be represented as: 
Determine the values of A and Z.
[2 marks]
A = ____
Z = ____","A = 227
Z = 89",,24,24,15,15,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1zQkrVCZZ5BGMdBsk8HtPfiEv82nHWNqQ/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,6,6.3,extended response,4,AO3,6.4.2.1,"A teacher wanted to find out what nuclear radiation is emitted from a source.
The teacher placed different barriers between the source and a detector.
The teacher recorded the count for 30 seconds after each barrier was put in place.
Table 2 shows the results.

Table 2

| Barrier     | Thickness in millimetres | Count after 30 seconds |
|-------------|--------------------------|-----------------------|
| None        |                          | 985                   |
| Paper       | 0.1                      | 149                   |
| Aluminium   | 5.0                      | 0                     |
| Lead        | 20.0                     | 0                     |

Explain what nuclear radiation was emitted by the source.
[4 marks]","(some) radiation is stopped by paper 
so the source emits alpha radiation
and (some) radiation passes through paper but is stopped by aluminium
so the source emits beta radiation (but does not emit gamma)","MP2 dependent on MP1
MP4 dependent on MP3",25,25,15,15,False,,True,Table 2,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],['Table 2'],https://drive.google.com/file/d/1zQkrVCZZ5BGMdBsk8HtPfiEv82nHWNqQ/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,6,6.4,extended response,3,AO3,"6.4.2.1, 6.4.2.3","Figure 11 shows how the activity of four different radioactive isotopes, A, B, C and D, changes over time.
Figure 11
Write the isotopes A, B, C and D in order of increasing stability of their nuclei.
Explain your answer.
[3 marks]
Least stable __________ Most stable
Explanation _______________","D B A C
explanation
a substance with a longer half-life has more stable nuclei
so answers are in order of increasing half-life","all four letters must be in the 
correct order
explanation only scores if 
correct order given
allow the more stable a nucleus, 
the less likely it is to decay (in a 
given time)",26,27,15,15,True,Figure 11,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 11'],[],https://drive.google.com/file/d/1zQkrVCZZ5BGMdBsk8HtPfiEv82nHWNqQ/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,1,1.1,short answer,1,AO2,6.2.3.2,"Figure 1 shows the inside of a plug.

Figure 1

The plug is not wired correctly.
What should be done to connect the wires in the plug correctly?",swap the blue wire and the green and yellow wire,"allow connect the blue wire to 
the neutral pin and the yellow 
and green wire to the earth pin.
allow swap the earth and neutral 
wires
ignore the earth wire and neutral 
wire are wrongly connected",2,2,2,2,True,Figure 1,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,['Figure 1'],[],https://drive.google.com/file/d/10sSioqZHNAlwjKnH-03mc0x8I4Qj5qOq/view
